City,Latitude,Longitude,Temperature,Humidity,Wind,Clouds
ribeira grande,38.52,-28.7,68.92,93,20.22,100
yellowknife,62.46,-114.35,12.06,92,8.05,75
westport,41.14,-73.36,31.51,80,5.82,1
wajir,1.75,40.06,77.88,69,12.19,41
rapid valley,44.06,-103.15,55.76,49,14.99,1
broome,42.25,-75.83,28.42,80,3.36,90
portland,45.52,-122.68,47.26,77,3.6,32
peniche,39.36,-9.38,55.99,90,1.52,36
mangan,27.52,88.53,85.87,14,5.23,99
jamestown,42.1,-79.24,32.76,92,5.82,90
ketchikan,55.34,-131.65,44.6,81,8.05,90
calabozo,8.92,-67.43,76.12,91,5.41,69
hasaki,35.73,140.83,65.16,45,13.87,20
berdigestyakh,62.1,126.7,1.89,86,2.42,29
puerto del rosario,28.5,-13.86,71.6,68,8.05,0
morehead,37.27,-87.18,37.04,93,3.65,1
albany,42.6,-73.97,29.98,99,3.71,43
dikson,73.51,80.55,15.4,96,26.24,98
naryan-mar,67.67,53.09,33.64,91,15.43,45
lagoa,39.05,-27.98,68.36,94,23.71,100
basco,20.45,121.97,77.0,72,29.66,74
avera,33.19,-82.53,54.66,87,5.82,1
iqaluit,63.75,-68.51,17.6,78,9.17,90
kapaa,22.08,-159.32,76.05,65,4.7,75
provideniya,64.38,-173.3,21.04,84,6.96,26
puyang,29.46,119.89,71.02,46,2.17,48
corinto,37.94,22.96,57.99,60,3.0,7
guerrero negro,27.98,-114.06,66.87,61,8.72,28
shushenskoye,53.33,91.94,33.8,100,8.95,75
merritt island,28.54,-80.67,67.12,77,4.7,20
tunceli,39.11,39.55,69.15,17,3.36,75
lavrentiya,65.58,-171.0,20.3,90,10.85,0
vanavara,60.34,102.28,13.05,93,5.57,93
boa vista,2.82,-60.67,80.6,74,3.36,40
harper,4.38,-7.72,76.98,90,7.61,71
marsa matruh,31.35,27.25,69.8,64,5.82,75
tha mai,12.62,102.0,89.01,52,1.7,5
srednyaya yelyuzan,53.02,45.95,41.0,75,5.53,100
butaritari,3.07,172.79,82.45,76,19.55,39
tambovka,50.1,128.05,35.6,69,8.95,20
mayo,38.89,-76.51,46.31,75,5.82,90
half moon bay,37.46,-122.43,54.93,82,3.42,5
kodiak,57.79,-152.41,35.6,59,10.29,90
ola,59.58,151.28,32.13,97,9.95,100
luba,3.46,8.55,75.2,100,4.07,40
athy,52.99,-6.98,57.65,92,11.01,100
ostrovnoy,68.05,39.51,32.86,94,19.28,91
inndyr,67.03,14.03,41.0,75,20.8,75
yabrud,33.97,36.66,62.83,51,4.7,40
komsomolskiy,40.43,71.72,50.0,25,4.7,0
torbay,47.67,-52.73,34.18,64,10.29,90
tasiilaq,65.61,-37.64,32.0,97,20.8,100
shubarshi,48.59,57.19,46.26,52,14.09,64
upernavik,72.79,-56.15,19.38,96,2.68,96
clyde river,70.47,-68.59,15.8,85,6.93,90
chunskiy,56.08,99.63,26.22,90,10.6,100
mahon,39.89,4.27,59.0,93,3.36,0
mangrol,21.12,70.12,86.13,38,6.82,0
cherepovets,59.13,37.9,42.8,93,4.85,90
severo-kurilsk,50.68,156.12,40.42,91,38.27,100
vila franca do campo,37.72,-25.43,69.8,94,16.11,75
aberdeen,57.14,-2.1,45.07,93,4.7,100
meybod,32.25,54.02,53.6,25,4.7,0
georgetown,5.41,100.34,88.05,70,6.93,20
bandarbeyla,9.49,50.81,78.98,75,12.08,42
saint george,37.1,-113.58,56.71,21,5.82,1
marsabit,2.33,37.99,64.83,82,18.43,84
ormara,25.21,64.64,80.65,31,4.5,0
saskylakh,71.92,114.08,-1.62,83,5.39,2
bethel,41.37,-73.41,29.1,92,3.36,1
lokoja,7.8,6.74,73.8,83,2.62,48
nikolskoye,59.7,30.79,44.19,93,4.47,90
salamiyah,35.01,37.05,67.05,58,1.03,99
vardo,70.37,31.11,34.34,86,11.77,25
longyearbyen,78.22,15.64,17.6,72,3.36,20
kanker,20.27,81.49,79.48,45,5.84,12
college,64.86,-147.8,9.23,85,4.7,90
praia da vitoria,38.73,-27.07,69.01,94,13.85,40
livingston,55.9,-3.52,45.37,81,12.75,75
sisimiut,66.94,-53.67,19.38,91,8.75,83
ossora,59.24,163.07,32.02,93,0.63,69
parrita,9.52,-84.32,66.36,100,4.7,90
taoudenni,22.68,-3.98,71.37,28,10.96,75
