City,Latitude,Longitude,Temperature,Humidity,Wind,Clouds
hay river,60.82,-115.8,23.0,79,2.24,100
dikson,73.51,80.55,13.73,96,27.67,91
beruwala,6.48,79.98,78.31,82,2.91,100
los llanos de aridane,28.66,-17.92,66.27,73,6.93,0
albany,42.6,-73.97,30.56,88,2.75,97
hasaki,35.73,140.83,59.32,54,10.29,20
lexington,37.99,-84.48,40.39,80,4.7,20
yellowknife,62.46,-114.35,15.53,85,5.82,75
rudnichnyy,59.62,52.47,33.82,96,9.53,100
inuvik,68.35,-133.72,5.0,84,4.7,92
butaritari,3.07,172.79,82.6,76,19.69,100
cabo san lucas,22.89,-109.91,78.39,57,6.93,40
baykit,61.67,96.37,0.54,88,2.71,0
huilong,31.81,121.66,66.36,63,6.62,0
jamestown,42.1,-79.24,34.84,95,4.7,90
nichinan,31.6,131.37,60.8,51,5.82,20
makakilo city,21.35,-158.09,84.16,58,18.34,1
bonthe,7.53,-12.51,78.24,88,5.91,32
tepalcatepec,19.18,-102.85,78.53,66,1.3,49
yanam,16.73,82.22,72.68,72,2.62,100
kapaa,22.08,-159.32,81.59,69,10.29,40
longyearbyen,78.22,15.64,17.6,72,5.82,40
srednekolymsk,67.45,153.68,5.94,91,1.48,100
zangakatun,39.82,45.04,44.6,81,6.24,20
chokurdakh,70.63,147.92,9.66,96,7.56,100
tasiilaq,65.61,-37.64,33.8,86,33.33,100
rudnogorsk,57.26,103.75,20.39,97,5.03,100
san patricio,28.02,-97.52,63.03,55,9.17,20
qasigiannguit,68.82,-51.19,19.4,67,4.7,97
tiksi,71.69,128.87,7.48,95,4.56,100
penzance,50.12,-5.54,55.6,100,25.28,100
arlit,18.74,7.39,75.49,19,11.59,0
amilly,47.97,2.77,45.64,98,6.31,72
magadan,59.57,150.8,30.88,97,15.82,100
grindavik,63.84,-22.43,42.8,87,25.28,75
kunigal,13.02,77.03,68.0,82,1.14,40
half moon bay,37.46,-122.43,61.75,82,12.75,1
ploemeur,47.73,-3.43,57.38,93,11.41,90
puerto gaitan,4.31,-72.08,82.13,68,5.66,37
bethel,41.37,-73.41,31.78,92,2.93,45
ladwa,29.99,77.04,62.17,34,4.54,0
kathu,7.92,98.33,82.54,100,2.24,40
two rivers,44.15,-87.57,29.89,74,2.42,1
hanyang,32.14,105.51,59.0,75,4.85,100
itatskiy,56.07,89.04,27.1,99,1.83,100
ixtapa,20.7,-105.2,82.4,74,8.05,75
saskylakh,71.92,114.08,-2.78,82,5.55,9
teguldet,57.31,88.17,20.66,98,0.96,97
thompson,55.74,-97.86,19.4,67,5.82,90
griffith,41.53,-87.42,33.28,69,4.25,1
turukhansk,65.82,87.98,4.86,92,10.02,88
tura,25.52,90.22,73.22,83,2.64,82
kichmengskiy gorodok,59.98,45.79,33.17,94,6.29,98
upernavik,72.79,-56.15,19.72,96,4.18,98
merritt island,28.54,-80.67,68.23,72,10.38,1
murgab,37.5,61.97,41.0,52,4.7,0
udimskiy,61.14,45.91,36.82,95,6.73,100
ati,13.22,18.34,83.39,18,11.92,5
suntar,62.14,117.63,1.08,88,5.28,70
cheney,47.49,-117.58,50.77,40,16.11,40
araouane,18.9,-3.53,82.78,15,11.01,98
yining,29.04,114.56,61.65,83,1.72,100
bathsheba,13.22,-59.52,82.4,78,23.04,75
hamilton,39.18,-84.53,40.3,68,3.36,40
maneadero,31.72,-116.57,64.99,89,3.13,47
kodiak,57.79,-152.41,32.0,81,5.82,90
fortuna,40.6,-124.16,56.17,71,12.75,1
puri,19.8,85.85,69.8,83,3.36,20
lompoc,34.64,-120.46,62.96,77,11.41,1
hilo,19.73,-155.09,78.3,74,9.17,90
erzin,36.96,36.2,69.01,73,1.3,100
camacha,33.08,-16.33,68.0,82,6.93,20
khatanga,71.97,102.5,-10.23,84,6.46,0
port blair,11.67,92.75,81.36,82,9.46,100
marrakesh,31.63,-8.01,66.2,39,2.24,0
sitka,57.05,-135.33,44.6,81,12.75,90
ribeira grande,38.52,-28.7,68.95,92,14.09,100
limon,10.0,-83.03,82.4,78,4.7,40
qaanaaq,77.48,-69.36,12.83,88,5.26,94
axim,4.87,-2.24,77.68,87,4.25,35
pasighat,28.07,95.33,72.84,48,3.47,0
mayo,38.89,-76.51,45.9,87,3.36,1
bardiyah,31.76,25.09,67.73,74,11.18,11
veraval,20.9,70.37,77.49,58,7.83,0
margate,51.38,1.39,56.43,82,3.0,52
bosobolo,4.18,19.9,69.64,96,0.85,21
iqaluit,63.75,-68.51,12.09,78,8.05,90
lavrentiya,65.58,-171.0,22.23,87,9.8,0
varkkallai,8.73,76.71,80.6,83,4.09,40
nikolskoye,59.7,30.79,45.21,93,6.71,90
ponta delgada,37.73,-25.67,69.8,88,13.87,75
avera,33.19,-82.53,59.25,82,3.36,1
ust-nera,64.57,143.2,-2.34,84,2.68,23
sharjah,25.36,55.4,72.48,82,5.82,0
seydi,39.48,62.91,40.37,60,4.68,35
pevek,69.7,170.31,21.15,97,5.3,100
jiazi,22.88,116.07,71.06,59,16.13,0
along,28.17,94.77,64.98,54,2.01,17
san lawrenz,36.06,14.2,62.53,93,3.36,20
